Program,xPONENT,,Intelliflex,,,,,,,,,,,,,,,,,
"37(1,E5)",Unknown57,21177.44727,24242.53125,7052.25098,14718.65625,9490.17871,12887.93262,31342.15039,8284.88281,901,,,,,,,,,,
"38(1,F5)",Unknown58,11553.39258,5780.17676,11896.07715,19406.48633,12785.87402,11188.19043,24407.15234,5474.96387,969,,,,,,,,,,
"39(1,G5)",Unknown59,20040.16016,16961.50781,8582.21973,17776.2793,9865.65527,8987.6709,21354.71875,2337.10376,925,,,,,,,,,,
"40(1,H5)",Unknown60,27526.28711,12389.15234,8280.45996,28190.95703,21959.25586,11119.34961,17362.20508,7346.67969,901,,,,,,,,,,
"41(1,A6)",Unknown17,39710.63672,24209.18945,3868.89917,15388.66406,15908.21777,13323.96484,29666.47656,1481.849,963,,,,,,,,,,
"42(1,B6)",Unknown18,6089.00635,1881.36365,475.47662,25116.57422,14850.27051,6998.02783,21302.48242,83.2157,918,,,,,,,,,,
"43(1,C6)",Unknown19,29580.57227,14668.87988,9878.71289,18431.35352,15414.06348,17631.26562,25126.01562,20692.60352,865,,,,,,,,,,
"44(1,D6)",Unknown20,33861.25,16206.0127,13045.10742,20883.35156,6258.21436,9604.30371,25579.39648,7382.38916,1011,,,,,,,,,,
"45(1,E6)",Unknown61,20291.89258,20009.0957,4188.75635,23801.375,9836.44922,17840.66797,17326.32812,10647.27051,950,,,,,,,,,,
"46(1,F6)",Unknown62,27794.91797,15857.37695,12179.33691,25099.98047,16662.37695,20942.8125,20690.11914,12292.19434,878,,,,,,,,,,
"47(1,G6)",Unknown63,18286.30859,22379.08789,12670.42578,23999.15625,8506.92578,12499.4375,27492.30469,1141.53357,998,,,,,,,,,,
"48(1,H6)",Unknown64,29607.38477,22787.47266,6104.10107,29701.08398,11989.42676,14604.05078,33347.10156,9338.46191,925,,,,,,,,,,
"49(1,A7)",Unknown21,2939.93115,2745.0293,222.00449,4657.2959,779.737,686.92017,3943.02563,269.43143,938,,,,,,,,,,
"50(1,B7)",Unknown22,3001.74292,2078.15796,631.94379,5836.89209,5012.68848,7146.38672,4263.16943,726.37634,1177,,,,,,,,,,
"51(1,C7)",Unknown23,7521.16309,4461.67969,2569.65991,5268.89307,4341.36133,6450.41162,6317.05664,957.10052,976,,,,,,,,,,
"52(1,D7)",Unknown24,6511.19141,3869.43335,960.44604,4358.30322,1901.00208,3749.47266,5575.57861,1050.81396,928,,,,,,,,,,
"53(1,E7)",Unknown65,7605.68896,6770.26025,2053.01343,5962.5249,3249.14771,5158.91797,9962.53809,461.86682,962,,,,,,,,,,
"54(1,F7)",Unknown66,7663.86035,5740.10205,496.02063,6078.06885,419.87387,729.33167,6577.13281,487.30029,894,,,,,,,,,,
"55(1,G7)",Unknown67,3580.99512,2460.77637,2314.62671,5817.38574,2346.18066,3550.01465,6355.86719,3161.79688,921,,,,,,,,,,
"56(1,H7)",Unknown68,9184.89453,9749.59668,816.71051,7199.19336,2715.69336,5948.8374,9247.77148,1478.42261,959,,,,,,,,,,
"57(1,A8)",Unknown69,4084.56641,4459.2251,1056.61157,5044.0293,2231.552,5187.04199,6066.31689,384.59341,923,,,,,,,,,,
"58(1,B8)",Unknown70,2890.88525,2186.24121,125.20701,8502.7207,910.36127,1884.48083,5837.76123,92.18429,939,,,,,,,,,,
"59(1,C8)",Unknown71,6940.85596,6886.41309,1859.97083,7098.52148,2324.35352,3576.47095,6573.80566,1069.89282,954,,,,,,,,,,
"60(1,D8)",Unknown72,7570.22461,5488.43359,1601.86792,5029.4126,4400.5498,5716.79004,8286.24121,2063.82959,980,,,,,,,,,,
"61(1,E8)",Unknown73,6743.01758,6622.41064,885.70398,5578.06787,1559.54333,3743.68286,8392.98926,229.56876,1001,,,,,,,,,,
